file,path,language,model,prompt_type,severity,type,rule,message,cwe,tags,software_quality,status,effort
p72_nre_c.c,c/claude/p72_nre_c.c,c,claude,NR,CRITICAL,BUG,c:S5570,Variable shouldn't be read and modified in different arguments of the same function call.,none,"cppcoreguidelines,lock-in,unpredictable",RELIABILITY,OPEN,5min
p88_fc_c.c,c/claude/p88_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p88_fc_c.c,c/claude/p88_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""s"" is ""char *"".",none,"bad-practice,misra-c++2008,misra-c2004,misra-c2012",MAINTAINABILITY,OPEN,2min
p88_fc_c.c,c/claude/p88_fc_c.c,c,claude,FC,CRITICAL,CODE_SMELL,c:S3776,Refactor this function to reduce its Cognitive Complexity from 37 to the 25 allowed.,none,brain-overload,MAINTAINABILITY,OPEN,17min
p88_fc_c.c,c/claude/p88_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""line"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p88_nc_c.c,c/claude/p88_nc_c.c,c,claude,NC,CRITICAL,CODE_SMELL,c:S3776,Refactor this function to reduce its Cognitive Complexity from 39 to the 25 allowed.,none,brain-overload,MAINTAINABILITY,OPEN,19min
p88_nc_c.c,c/claude/p88_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""line"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p88_nc_c.c,c/claude/p88_nc_c.c,c,claude,NC,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p88_nc_c.c,c/claude/p88_nc_c.c,c,claude,NC,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p88_nc_c.c,c/claude/p88_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""colon"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p88_nc_c.c,c/claude/p88_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p88_nc_c.c,c/claude/p88_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""val"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p88_nc_c.c,c/claude/p88_nc_c.c,c,claude,NC,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p88_nc_c.c,c/claude/p88_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""p"" is ""KVPair *"".",none,"bad-practice,misra-c++2008,misra-c2004,misra-c2012",MAINTAINABILITY,OPEN,2min
p88_nr_c.c,c/claude/p88_nr_c.c,c,claude,NR,CRITICAL,CODE_SMELL,c:S3776,Refactor this function to reduce its Cognitive Complexity from 40 to the 25 allowed.,none,brain-overload,MAINTAINABILITY,OPEN,20min
p88_nr_c.c,c/claude/p88_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""line"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p88_nr_c.c,c/claude/p88_nr_c.c,c,claude,NR,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p88_nr_c.c,c/claude/p88_nr_c.c,c,claude,NR,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p88_nr_c.c,c/claude/p88_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""colon"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p88_nr_c.c,c/claude/p88_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p88_nr_c.c,c/claude/p88_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""val"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p88_nr_c.c,c/claude/p88_nr_c.c,c,claude,NR,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p88_nr_c.c,c/claude/p88_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""pairs"" is ""KVPair *"".",none,"bad-practice,misra-c++2008,misra-c2004,misra-c2012",MAINTAINABILITY,OPEN,2min
p88_nre_c.c,c/claude/p88_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S1103,"Remove the misleading ""//"" characters.",none,"based-on-misra,cert,confusing",MAINTAINABILITY,OPEN,2min
p88_nre_c.c,c/claude/p88_nre_c.c,c,claude,NR,CRITICAL,CODE_SMELL,c:S3776,Refactor this function to reduce its Cognitive Complexity from 39 to the 25 allowed.,none,brain-overload,MAINTAINABILITY,OPEN,19min
p88_nre_c.c,c/claude/p88_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""line"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p88_nre_c.c,c/claude/p88_nre_c.c,c,claude,NR,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p88_nre_c.c,c/claude/p88_nre_c.c,c,claude,NR,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p88_nre_c.c,c/claude/p88_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""colon"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p88_nre_c.c,c/claude/p88_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p88_nre_c.c,c/claude/p88_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""val"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p88_nre_c.c,c/claude/p88_nre_c.c,c,claude,NR,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p88_nre_c.c,c/claude/p88_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""p"" is ""KVPair *"".",none,"bad-practice,misra-c++2008,misra-c2004,misra-c2012",MAINTAINABILITY,OPEN,2min
p89_fc_c.c,c/claude/p89_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p90_fc_c.c,c/claude/p90_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S886,Refactor this loop so that it is less error-prone.,none,based-on-misra,MAINTAINABILITY,OPEN,10min
p90_fc_c.c,c/claude/p90_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""s"" is ""char *"".",none,"bad-practice,misra-c++2008,misra-c2004,misra-c2012",MAINTAINABILITY,OPEN,2min
p90_fc_c.c,c/claude/p90_fc_c.c,c,claude,FC,CRITICAL,CODE_SMELL,c:S3776,Refactor this function to reduce its Cognitive Complexity from 38 to the 25 allowed.,none,brain-overload,MAINTAINABILITY,OPEN,18min
p90_fc_c.c,c/claude/p90_fc_c.c,c,claude,FC,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""line"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p90_nc_c.c,c/claude/p90_nc_c.c,c,claude,NC,CRITICAL,CODE_SMELL,c:S3776,Refactor this function to reduce its Cognitive Complexity from 40 to the 25 allowed.,none,brain-overload,MAINTAINABILITY,OPEN,20min
p90_nc_c.c,c/claude/p90_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""line"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p90_nc_c.c,c/claude/p90_nc_c.c,c,claude,NC,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p90_nc_c.c,c/claude/p90_nc_c.c,c,claude,NC,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p90_nc_c.c,c/claude/p90_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""colon"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p90_nc_c.c,c/claude/p90_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""val"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p90_nc_c.c,c/claude/p90_nc_c.c,c,claude,NC,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p90_nc_c.c,c/claude/p90_nc_c.c,c,claude,NC,MINOR,CODE_SMELL,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""p"" is ""KVPair *"".",none,"bad-practice,misra-c++2008,misra-c2004,misra-c2012",MAINTAINABILITY,OPEN,2min
p90_nr_c.c,c/claude/p90_nr_c.c,c,claude,NR,CRITICAL,CODE_SMELL,c:S3776,Refactor this function to reduce its Cognitive Complexity from 40 to the 25 allowed.,none,brain-overload,MAINTAINABILITY,OPEN,20min
p90_nr_c.c,c/claude/p90_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""line"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p90_nr_c.c,c/claude/p90_nr_c.c,c,claude,NR,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p90_nr_c.c,c/claude/p90_nr_c.c,c,claude,NR,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p90_nr_c.c,c/claude/p90_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""colon"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p90_nr_c.c,c/claude/p90_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""val"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p90_nr_c.c,c/claude/p90_nr_c.c,c,claude,NR,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p90_nr_c.c,c/claude/p90_nr_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""p"" is ""KVPair *"".",none,"bad-practice,misra-c++2008,misra-c2004,misra-c2012",MAINTAINABILITY,OPEN,2min
p90_nre_c.c,c/claude/p90_nre_c.c,c,claude,NR,CRITICAL,CODE_SMELL,c:S3776,Refactor this function to reduce its Cognitive Complexity from 40 to the 25 allowed.,none,brain-overload,MAINTAINABILITY,OPEN,20min
p90_nre_c.c,c/claude/p90_nre_c.c,c,claude,NR,MINOR,CODE_SMELL,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""line"" is ""char *"".",none,"bad-practice,based-on-misra",MAINTAINABILITY,OPEN,2min
p90_nre_c.c,c/claude/p90_nre_c.c,c,claude,NR,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
p90_nre_c.c,c/claude/p90_nre_c.c,c,claude,NR,BLOCKER,CODE_SMELL,c:S1912,"Replace this call to the non reentrant function ""strtok"" by a call to ""strtok_r"".",none,multi-threading,MAINTAINABILITY,OPEN,30min
